Common Name,Scientific Name,Count,Reporting Rate
Red-tailed Black-Cockatoo,Calyptorhynchus banksii,17,0.01%
Brown Noddy,Anous stolidus,14,0.01%
Northern Giant-Petrel,Macronectes halli,12,0.01%
Sooty Tern,Onychoprion fuscatus,11,0.01%
Shy Albatross,Thalassarche cauta,11,0.01%
Cockatiel,Nymphicus hollandicus,10,0.01%
Gould's Petrel,Pterodroma leucoptera,9,0.00%
Indian Yellow-nosed Albatross,Thalassarche carteri,9,0.00%
Radjah Shelduck,Radjah radjah,9,0.00%
Forest Kingfisher,Todiramphus macleayii,8,0.00%
Campbell Albatross,Thalassarche impavida,8,0.00%
Superb Fruit-Dove,Ptilinopus superbus,8,0.00%
Common Gull-billed Tern,Gelochelidon nilotica,7,0.00%
Grey-faced Petrel,Pterodroma gouldi,7,0.00%
Buller's Albatross,Thalassarche bulleri,7,0.00%
Ground Cuckoo-shrike,Coracina maxima,6,0.00%
Southern Giant-Petrel,Macronectes giganteus,6,0.00%
Little Curlew,Numenius minutus,6,0.00%
South Island Pied Oystercatcher,Haematopus finschi,5,0.00%
Wilson's Storm-Petrel,Oceanites oceanicus,5,0.00%
Lesser Yellowlegs,Tringa flavipes,5,0.00%
Australian Ringneck,Barnardius zonarius,5,0.00%
Fairy Prion,Pachyptila turtur,5,0.00%
Bluebonnet,Northiella haematogaster,5,0.00%
Major Mitchell's Cockatoo,Cacatua leadbeateri,5,0.00%
Providence Petrel,Pterodroma solandri,4,0.00%
Black-browed Albatross spp,,4,0.00%
Buff-breasted Sandpiper,Calidris subruficollis,4,0.00%
Fairy/Little Tern spp,,4,0.00%
Crimson Chat,Epthianura tricolor,4,0.00%
Asian Dowitcher,Limnodromus semipalmatus,4,0.00%
White-faced Storm-Petrel,Pelagodroma marina,3,0.00%
Streaked Shearwater,Calonectris leucomelas,3,0.00%
Red-chested Button-quail,Turnix pyrrhothorax,3,0.00%
Yellow-throated Miner,Manorina flavigula,3,0.00%
Skua spp,,3,0.00%
Inland Thornbill,Acanthiza apicalis,3,0.00%
Banded Stilt,Cladorhynchus leucocephalus,2,0.00%
Black Honeyeater,Sugomel nigrum,2,0.00%
Little Shearwater,Puffinus assimilis,2,0.00%
Medium wader spp,,2,0.00%
Diamond Dove,Geopelia cuneata,2,0.00%
Indian Peafowl,Pavo cristatus,2,0.00%
Small wader spp,,2,0.00%
White-capped Albatross,Thalassarche steadi,2,0.00%
Black-faced Woodswallow,Artamus cinereus,2,0.00%
Ruff,Calidris pugnax,2,0.00%
Oriental Cuckoo,Cuculus optatus,2,0.00%
Tattler spp,,2,0.00%
Pink Robin,Petroica rodinogaster,2,0.00%
Black-tailed Native-hen,Tribonyx ventralis,1,0.00%
Royal Albatross spp,,1,0.00%
Black Noddy,Anous minutus,1,0.00%
Ring-necked Parakeet,Psittacula krameri,1,0.00%
White-tailed Tropicbird,Phaethon lepturus,1,0.00%
Common Diving-Petrel,Pelecanoides urinatrix,1,0.00%
Red-backed Kingfisher,Todiramphus pyrrhopygius,1,0.00%
Dark shearwater spp,,1,0.00%
Grey Noddy,Procelsterna albivittus,1,0.00%
Shearwater spp,,1,0.00%
Red-tailed Tropicbird,Phaethon rubricauda,1,0.00%
